VHCLE_TY_NM,VHCLE_FUEL_NM,VHCLE_NMPR_CO,VHCLE_MAKR_NM,USE_DT,COST_D
중형,전기,5,국산,겨울,15514.28571
중형,휘발유,5,국산,겨울,16800
중형,LPG,5,국산,겨울,27066.66667
중형,휘발유,5,국산,겨울,16800
중형,휘발유,5,국산,겨울,16800
중형,휘발유,5,국산,겨울,40622.22222
중형,LPG,5,국산,겨울,22588.23529
SUV/승합,경유,5,국산,겨울,46125
소형,휘발유,5,국산,겨울,21573.03371
중형,휘발유,5,국산,겨울,128800
SUV/승합,경유,7,국산,겨울,63375
중형,LPG,5,국산,겨울,15682.75862
중형,LPG,5,국산,겨울,22870.58824
중형,LPG,5,국산,겨울,42500
중형,LPG,5,국산,겨울,44000
SUV/승합,경유,9,국산,겨울,46546.47887
중형,휘발유,5,국산,겨울,34285.71429
중형,LPG,5,국산,겨울,27422.95082
중형,휘발유,5,국산,겨울,18738.46154
중형,LPG,5,국산,겨울,18950
중형,LPG,5,국산,겨울,19850
중형,전기,5,국산,겨울,23589.47368
SUV/승합,전기,5,국산,겨울,33292.30769
소형,휘발유,5,국산,겨울,24564.70588
중형,휘발유,5,국산,겨울,40023.52941
중형,LPG,5,국산,겨울,17018.18182
SUV/승합,전기,5,국산,겨울,20317.80822
SUV/승합,전기,4,국산,겨울,28200
고급,휘발유,5,국산,겨울,81600
소형,휘발유,5,국산,겨울,24288
중형,LPG,5,국산,겨울,19600
중형,LPG,5,국산,겨울,36266.66667
소형,휘발유,5,국산,겨울,20000
SUV/승합,전기,5,국산,겨울,28579.59184
중형,LPG,5,국산,겨울,24000
소형,휘발유,5,국산,겨울,38577.77778
중형,LPG,5,국산,겨울,23250
중형,LPG,5,국산,겨울,16416
중형,LPG,5,국산,겨울,21230.76923
SUV/승합,경유,9,국산,겨울,67776
중형,LPG,5,국산,겨울,17388.67925
중형,LPG,5,국산,겨울,13500
중형,LPG,5,국산,겨울,40581.81818
SUV/승합,경유,7,국산,겨울,33061.22449
소형,휘발유,5,국산,겨울,21221.05263
중형,휘발유,5,국산,겨울,28800
중소형,휘발유,5,국산,겨울,28453.01205
